Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)마크클라우드,"AI 개발(Python), 데이터분석 및 사업 기획 모집","['서울 강남구', '신입·경력', '대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50330710&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)심네트,"데이터 분석(국방분야) 전문 분석관 모집(IT, 데이터 분석)","['서울 용산구', '신입', '대졸↑', '정규직·계약직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202595&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)에이블리코퍼레이션,[에이블리] 데이터 분석가 (채용 연계형 인턴),"['서울 서초구', '신입', '학력무관', '인턴직', '230 만원']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50326476&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,"['서울 강남구', '신입', '대졸↑', '인턴직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202952&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,메가존클라우드(주),데이터 분석가 채용,"['서울 강남구', '경력무관', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50052854&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,넛지헬스케어(주),[넛지헬스케어] 데이터분석가 - 석사/박사,"['서울 강남구', '경력무관', '석사↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50202924&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)딜리버드코리아,[딜리버드코리아] 데이터 분석가 / 데이터 사이언티스트 모집,"['부산 해운대구', '경력', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50272945&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,콘센트릭스서비스코리아(유),[Catalyst] GA/AA 데이터분석,"['서울 강남구', '경력 1~11년', '학력무관', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50073613&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)쿡앱스,[쿡앱스] 데이터 분석가 (전문연구요원) 모집,"['경기 성남시 분당구', '신입', '학력무관', '정규직', '5,000 만원']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50186053&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
Saramin,(주)한샘,[한샘] 데이터 분석가,"['서울 마포구', '경력무관', '초대졸↑', '정규직']",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50236184&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=2b84ad02-516b-432a-ba65-2b23ef14972a
